WDID	Status	SSOq Population Served	Last Updated	Dev Plan Schedule DT	Goal DT	Org DT	Legal Auth DT	Operation Maint DT	Design Perf Prov DT	Overflow Emerg Resp Plan DT	Fog Cntl Program DT	Sys Eval Cap Assur Plan	Monit Meas Program Modi DT	SSMP Program Audit DT	Commun Program DT	Complete SSMP Impl DT	Five Year Update DT	Note	Url	SSMP Uploaded	
5SSO10857	Active	8,771	06/30/2010	01/20/2010	01/20/2010	01/20/2010	01/20/2010	01/20/2010	01/20/2010	05/18/2010	05/18/2010	05/02/0010	05/02/0010	05/18/2010	05/18/2010	05/18/2010	06/16/2015			No	
5SSO10859	Active	90,316	04/23/2015	10/16/2007	10/16/2007	10/16/2007	05/01/2009	05/01/2009	07/21/2009	05/01/2009	05/01/2009	07/21/2009	07/21/2009	07/21/2009	07/21/2009	07/21/1009	08/19/2014		http://www.chico.ca.us/general services deparetment/operation and maintenance/sewers storm drains.asp	Yes	
5SSO10860	Active	1,998	07/13/2012	07/02/2012	07/02/2012	07/02/2012	07/02/2012	07/02/2012	07/02/2012	07/02/2012	07/02/2012	07/02/2012	07/02/2012	07/02/2012	07/02/2012	07/02/2012	07/02/2017			No	
5SSO10863	Active	179	09/02/2010	05/01/2008	05/01/2008	05/01/2008	05/01/2008	05/01/2008	03/09/2010	05/01/2008	05/01/2008	03/09/2010	03/09/2010	03/09/2010	03/09/2010	03/09/2010	03/09/2015	All portions presented to City Council		No	
5SSO10864	Historical																			No	
5SSO10865	Active	3,767	05/27/2016	07/17/2015	08/17/2015	02/02/2016	02/05/2016	02/05/2016	08/17/2015	08/14/2015	02/03/2016	08/19/2015	02/17/2016	08/17/2015	08/17/2015	05/17/2016				Yes	
5SSO10866	Active	57	09/09/2016	11/27/2007	10/30/2007	10/30/2007	05/01/2009	05/01/2009	07/21/2009	05/01/2009	05/01/2009	07/21/2009	07/21/2009	07/21/2009	07/21/2009	07/21/2009	08/04/2015	The last 5-year update was completed in July 2015.	http://www.placer.ca.gov/departments/facility/environmental-engineering/sewer/sewer-system-management-plan	Yes	
5SSO10867	Active	2,500	03/30/2011	02/24/2007	02/24/2007	02/24/2007	02/24/2007	02/24/2007	02/24/2007	02/24/2007	02/24/2007	02/24/2007	02/24/2007	02/24/2007	02/24/2007	02/24/2007				No	
5SSO10868	Active	1,440	10/24/2016	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	07/28/2010	12/09/2015			Yes	
5SSO10869	Active	352	07/13/2010	03/11/2008	03/11/2008	03/11/2008	02/01/2010	02/01/2010	07/13/2010	02/01/2010	02/01/2010	07/13/2010	07/13/2010	07/13/2010	07/13/2010	07/13/2010				No	
5SSO10870	Active	454	10/11/2016	10/11/2010	10/11/2010	10/11/2010	10/11/2010	10/01/2010	10/11/2010	10/11/2010	10/11/2010		10/11/2010	10/11/2010	10/11/2010	10/11/2010	10/11/2016	NO significant changes from original submission		No	
5SSO10873	Active	121	12/02/2010	04/21/2008	04/21/2008	04/21/2008	02/02/2010	02/02/2010	02/02/2010	02/02/2010	02/02/2010	08/02/2010	08/02/2010	08/02/2010	08/02/2010	08/02/2010				No	
5SSO10874	Historical																			No	
5SSO10876	Historical																			No	
5SSO10879	Active	900	04/16/2012	11/14/2007	11/14/2007	11/14/2007	04/05/2006	11/30/2011	11/30/2011	05/14/2008	11/30/2011	11/30/2011	11/30/2011	11/30/2011	12/13/2011	12/13/2011	12/13/2016			No	
5SSO10880	Active	804	12/20/2010	08/19/2010	09/03/2010	09/07/2010	09/07/2010	09/07/2010	08/19/2010	09/10/2010	09/13/2010	09/14/2010	09/16/2010	09/17/2010	09/17/2010	09/20/2010				No	
5SSO10882	Active	35,000	01/14/2011	11/01/0007	11/01/0007	11/01/0007	05/01/2009	05/01/2009	11/02/2009	05/01/2009	05/01/2009	11/02/2009	11/02/2009	11/02/2009	11/02/2009	11/02/2009				No	
5SSO10883	Active	300	01/25/2013	05/02/2008	05/02/2008	05/02/2008	02/02/2010	02/02/2010	05/26/2010	02/02/2010	02/02/2010	05/26/2010	05/26/2010	05/26/2010	05/26/2010	07/26/2010	09/06/2012	SSMP Updated		No	
5SSO10884	Active	500	01/25/2013	05/02/2008	05/02/2008	05/02/2008	02/02/2010	02/02/2010	05/26/2010	02/02/2010	02/02/2010	05/26/2010	05/26/2010	05/26/2010	05/26/2010	07/26/2010	09/06/2012	SSMP Updated		No	
5SSO10885	Active	280	07/14/2014	10/22/2007	10/22/2007	10/22/2007	04/27/2009	04/27/2009	04/27/2009	04/27/2009	04/27/2009	07/17/2009	07/17/2009	07/17/2009	07/17/2009	07/17/2009	07/14/2014	Completed documents available from Elizabeth Wells		No	
5SSO10888	Active	210	12/07/2012	02/12/2008	02/12/2008	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	11/13/2012	11/13/2017			No	
5SSO10889	Historical																			No	
5SSO10890	Active	110,542	10/20/2015	11/15/2012	01/22/2013	01/22/2013	01/22/2013	01/22/2013	01/22/2013	01/22/2013	01/22/2013	01/22/2013	01/22/2013	01/22/2013	01/22/2013	01/22/2013	01/22/2013			No	
5SSO10891	Active	57,000	07/01/2014	10/09/2007	10/09/2007	10/09/2007	04/28/2009	04/28/2009	07/31/2009	04/28/2009	04/28/2009	07/31/2009	07/31/2009	07/31/2009	07/31/2009	07/31/2009	05/14/2013		http://www.brentwoodca.gov/department/pw/operations/wastewater/documents/ssmp-2013.pdf	Yes	
5SSO10893	Active	77,246	10/10/2014	10/23/2007	10/23/2007	10/23/2007	01/21/2009	01/21/2009	05/01/2009	05/01/2009	05/01/2009	05/01/2009	05/01/2009	05/01/2009	07/28/2009	07/28/2009	08/01/2014	Final SSMP Uploaded 10/10/14 with City Council Resolution. DRAFT SSMP Uploaded 8/1/14.	http://www.folsom.ca.us/depts/ewr/sewer_system_management_plan_(ssmp).asp	Yes	
5SSO10894	Active	3,999	06/04/2013	02/05/2008	05/01/2008	07/17/2012	07/17/2012	07/17/2012	07/17/2012	07/17/2012	07/17/2012	03/28/2013	03/28/2013	03/28/2013	03/28/2013	04/16/2013				No	
5SSO10895	Active	4,450	04/29/2010	01/28/2008	03/18/2008	03/18/2008	10/07/2009	11/12/2009	02/23/2010	02/26/2006	09/10/2009	04/29/2010	03/02/2010	04/29/2010	04/29/2010	04/29/2010		To Be Adopted by City Council at next meeting		No	
5SSO10896	Active	4,765	04/30/2010	06/17/2008	06/17/2008	06/17/2008	11/02/2009	11/02/2009	04/30/2010	11/02/2009	11/02/2009	04/30/2010	04/30/2010	04/30/2010	04/30/2010	04/30/2010				No	
5SSO10897	Active	11,790	07/13/2012	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009		SSMP approved by City Council on 7/21/2009		No	
5SSO10898	Active	8,791	04/21/2011	01/16/2008	04/16/2008	04/16/2008	10/21/0009	10/21/0009	04/07/2010	10/21/0009	10/21/0009	04/21/2010	04/21/2010	04/21/2010	04/21/2010	04/21/2010				No	
5SSO10900	Active	15,200	03/30/2010	05/08/2009	05/08/2009	05/08/2009	05/08/2009	05/08/2009	05/08/2009	05/08/2009	05/08/2009	08/01/2009	08/01/2009	08/01/2009	08/01/2009	08/01/2009				No	
5SSO10901	Active	180,124	06/03/2014	07/17/2007	10/31/2008	10/31/2008	10/31/2008	10/31/2008	05/02/2009	10/31/2008	10/31/2008	05/02/2009	05/02/2009	05/02/2009	05/02/2009	05/02/2009	04/22/2014	Updated entire SSMP to reflect organizational changes, capital improvements and maintenance activities implemented to further reduce SSOs		Yes	
5SSO10901-C	Active	68,145																		No	
5SSO10903	Active	56,590	11/22/2013	09/18/0007	09/18/0007	09/18/0007	04/03/2009	04/03/2009	05/02/2009	04/03/2009	04/03/2009	05/02/2009	05/02/2009	05/02/2009	05/02/2009	06/16/2009		Adding SSMP URL	http://www.cityofwoodland.org/gov/depts/pw/issues/default.asp	No	
5SSO10906	Active	2,458	02/21/2014	02/21/2014	02/21/2014	02/21/2014	02/21/2014	02/21/2014	02/21/2014	02/21/2014	02/21/2014	08/21/2015	02/21/2014	02/21/2014	02/21/2014	02/21/2014	02/21/2014			Yes	
5SSO10907	Active	2,013	10/09/2015	10/01/2013	10/01/2013	10/01/2013	10/01/2013	10/01/2013	10/01/2013	10/01/2013	10/01/2013	10/01/2013	10/01/2013	10/01/2013	10/01/2013	10/01/2013	10/01/2018			Yes	
5SSO10908	Active	6,734	03/13/2013	02/05/2008	03/13/2008	03/13/2008	05/03/2010	05/02/2010	05/02/2010	05/02/2010	05/02/2010	05/02/2010	05/02/2010	05/02/2010	05/02/2010	05/02/2010	05/02/0015			No	
5SSO10910	Active	4,650	10/24/2016	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	07/28/2010	12/09/2015			Yes	
5SSO10912	Active	1,180,000	05/29/2014	06/13/2007	11/02/2007	11/02/2007	10/30/2008	10/30/2008	04/24/2009	10/30/2008	10/30/2008	04/24/2009	04/24/2009	04/24/2009	04/24/2009	04/24/2009	05/14/2014		http://www.sacsewer.com/sites/main/files/file-attachments/sewer_system_management_plan.pdf	No	
5SSO10916	Active	1,465	02/24/2014	11/27/2008	11/27/2008	11/27/2008	11/27/2008	08/01/2009	08/01/2010	08/01/2009	08/01/2009	08/01/2010	08/01/2010	08/01/2010	08/01/2010	08/01/2010	02/24/2014			Yes	
5SSO10918	Active	538	08/31/2015	11/27/2007	10/30/2007	10/30/2007	05/01/2009	05/01/2009	07/21/2009	05/01/2009	05/01/2009	07/21/2009	07/21/2009	07/21/2009	07/21/2009	07/21/2009	08/04/2015			Yes	
5SSO10920	Historical	280																		No	
5SSO10921	Active	66,570	08/21/2012	10/23/2007	10/23/2007	10/23/2007	04/30/2009	04/30/2009	04/30/2009	04/30/2009	04/30/2009	04/30/2009	08/08/2012	08/08/2012	08/08/2012	08/21/2012				No	
5SSO10922	Historical	1,400	08/02/2010	05/01/2008	05/01/2008	05/01/2008	10/01/2009	10/01/2009	10/01/2009	10/01/2009	10/01/2009	10/01/2009	10/01/2009	10/01/2009	10/01/2009	10/01/2009				No	
5SSO10923	Active	35,292	07/14/2014	10/22/2007	10/22/2007	10/22/2007	04/27/2009	04/27/2009	04/27/2009	04/27/2009	04/27/2009	07/17/2009	07/17/2009	07/17/2009	07/17/2009	07/17/2009	07/14/2014	Completed documents available from Elizabeth Wells		No	
5SSO10924	Historical																			No	
5SSO10926	Active	2,900	12/08/2010	01/30/2008	06/14/2008	06/14/2008	12/08/2010	12/08/2010	12/08/2010	12/08/2010	12/08/2010	12/08/2010	12/08/2010	12/08/2010	12/08/2010	12/08/2010		Please note SSMP was completed and implemented in March of 2010		Yes	
5SSO10928	Active	864	11/11/2016	04/06/2009	04/06/2009	04/06/2009	04/06/2009	04/06/2009	04/06/2009	04/06/2009	04/06/2009	04/06/2009	04/06/2009	04/06/2009	04/06/2009	09/10/2009	11/09/2016			Yes	
5SSO10929	Active	14,000	03/22/2017	06/08/2012	06/08/2012	06/08/2012	06/08/2012	06/08/2012	06/08/2012	06/08/2012	06/08/2012	06/08/2012	06/08/2012	06/08/2012	06/08/2012	06/08/2012				Yes	
5SSO10930	Historical	302																		No	
5SSO10931	Active	19,390	03/10/2017	10/23/2007	03/10/2017	03/10/2017	03/10/2017	03/10/2017	03/10/2017	03/10/2017	03/10/2017	04/01/2010	02/01/2010	02/01/2010	02/01/2010	04/13/0010	03/10/2017		http://www.ci.dixon.ca.us/index.aspx?nid=462	Yes	
5SSO10932	Historical	100																		No	
5SSO10933	Active	98	09/19/2012	04/14/2008	04/30/2008	04/30/2008	04/02/2010	04/02/2010	08/02/2010	06/06/2009	06/06/2009	08/31/2012	03/29/2012	08/31/2012	08/02/2010	04/03/2012				No	
5SSO10934	Active	635	10/24/2016	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	07/28/2010	12/09/2015			Yes	
5SSO10935	Active	134,073	02/23/2017	05/16/2007	10/31/2006	12/31/2006	05/01/2007	02/01/2007	12/21/2006	12/31/2006	09/22/2008	10/09/2008	10/31/2006	07/01/2007	10/09/2008	01/21/2009	01/17/2014		http://www.roseville.ca.us/eu/wastewater_utility/ssmp.asp	Yes	
5SSO10937	Historical	46	02/24/2014	11/27/2008	11/27/2008	11/27/2008	11/27/2008	08/01/2009	08/01/2010	08/01/2009	08/01/2009	08/01/2010	08/01/2010	08/01/2010	08/01/2010	08/01/2010	02/24/2014			Yes	
5SSO10938	Active	96,803	07/31/2014	10/09/2007	06/30/2014	06/30/2014	06/30/2014	06/30/2014	06/30/2014	06/30/2014	06/30/2014	06/30/2014	06/30/2014	06/30/2014	06/30/2014	06/30/2014	07/08/2014	City Council Approval on 7/8/14	http://www.ci.vacaville.ca.us/modules/showdocument.aspx?documentid=2769	No	
5SSO10939	Historical	106	05/02/2008															SSMP Requirements not applicable to this facility		No	
5SSO10940	Active	9,000	12/15/2010	09/15/2009	09/15/2009	09/15/2009	10/29/2009	10/29/2009	05/06/2010	10/29/2009	10/29/2009	05/06/2010	05/06/2010	05/06/2010	05/06/2010	05/06/2010	12/15/2010	Recert. Section V		No	
5SSO10941	Active	34,935	07/14/2014	10/22/2007	10/22/2007	10/22/2007	04/27/2009	04/27/2009	04/27/2009	04/27/2009	04/27/2009	07/17/2009	07/17/2009	07/17/2009	07/17/2009	07/17/2009	07/14/2014	Completed documents available from Elizabeth Wells		No	
5SSO10942	Historical	3,600	02/22/2012	02/22/2012	02/22/2012	02/22/2012	02/22/2012	02/22/2012	02/22/2012	02/22/2012	02/22/2012	02/22/2012	02/22/2012	02/22/2012	02/22/2012	02/22/2012	02/22/2012			No	
5SSO10944	Active	7,306	06/08/2011	02/07/2011	02/02/2011	02/02/2011	02/08/2011	02/22/2011	02/22/2011	03/01/2011	03/01/2011	03/01/2011	03/08/2011	03/08/2011	03/08/2011	06/06/2011				No	
5SSO10945	Active	1,900	04/07/2011	08/12/2010	04/06/2011	04/06/2011	04/06/2011	04/06/2011	04/06/2011	04/06/2011	04/06/2011	04/06/2011	04/06/2011	04/06/2011	04/06/2011	04/06/2011		Approved by board of Directors		No	
5SSO10946	Historical																			No	
5SSO10949	Active	1,350	10/24/2016	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	07/28/2010	12/09/2015			Yes	
5SSO10951	Active	25,000	07/08/2009	11/02/0007	11/02/2007	11/02/2007	09/26/2008	04/30/2009	01/30/2009	10/30/2008	10/30/2008	07/07/2009	08/13/2008	08/12/2008	11/24/2008	07/07/2009		Resolution number 2009-67		No	
5SSO10952	Active	197	02/24/2014	11/27/2008	11/27/2008	11/27/2008	11/27/2008	08/01/2009	08/01/2010	08/01/2009	08/01/2009	08/01/2010	08/01/2010	08/01/2010	08/01/2010	08/01/2010	02/24/0014			Yes	
5SSO10953	Active	2,500	08/28/2012	01/30/2010	01/30/2010	01/30/2010	01/30/2010	10/19/2010	10/19/2010	03/15/2010	10/19/2010	10/20/2010	10/19/2010	10/20/2010	10/22/2010	10/22/2010				No	
5SSO10954	Active	120	07/14/2014	10/22/2007	10/22/2007	10/22/2007	04/27/2009	04/27/2009	04/27/2009	04/27/2009	04/27/2009	07/17/2009	07/17/2009	07/17/2009	07/17/2009	07/17/2009	07/14/2014	Completed documents avilable from Elizabeth Wells		No	
5SSO10958	Active	12,500	12/03/2013	06/11/2013	06/11/2013	06/11/2013	06/11/2013	06/11/2013	06/11/2013	06/11/2013	06/11/2013	06/11/2013	06/11/2013	06/11/2013	06/11/2013	09/02/2013	06/01/2017			Yes	
5SSO10959	Active	1,077	07/14/2011	02/17/2011	03/15/2011	03/15/2011	03/15/2011	04/20/2011	04/30/2011	05/11/2011	05/21/2011	05/31/2011	06/02/2011	06/13/2011	06/22/2011	07/07/2011	07/07/2016	Certification of the SSMP was sent on 7/14/2011		No	
5SSO10961	Active	1,500	12/02/2010	01/28/2008	04/24/2008	04/24/2008	09/01/2009	09/01/2009	09/01/2009	09/01/2009	09/01/2009	09/01/2009	05/03/2010	05/03/2010	05/03/2010	05/03/2010				No	
5SSO10963	Active	2,000	08/30/2010	02/11/2008	05/12/2008	05/12/2008	03/15/2010	03/15/2010	08/18/2010	03/15/2010	03/15/2010	08/18/2010	08/18/2010	08/18/2010	08/18/2010	08/18/2010				No	
5SSO10964	Active	240	03/29/2013	11/19/2012	12/11/2012	12/11/2012	03/25/2013	03/25/2013	03/25/2013	03/25/2013	03/28/2013	03/28/2013	03/28/2013	03/28/2013	03/28/2013	03/29/2013				No	
5SSO10965	Active	10,464	06/13/2012	01/22/2008	01/13/2009	01/13/2009	10/26/2009	11/02/2009	10/26/2009	10/26/2009	12/29/2011	12/29/2011	12/29/2011	12/29/2011	12/29/2011	06/12/2012		Final SSMP adopted by City Council 6/12/12		Yes	
5SSO10966	Historical																			No	
5SSO10967	Active	1,464	01/19/2011	05/19/2008	07/31/2008	07/31/2008	11/18/2009	02/10/2010	02/10/2010	12/13/2010	12/13/2010	12/15/2010	12/21/2010	01/07/2011	01/07/2011	01/19/2011		Obtained final Board blessing on 01/18/2011		No	
5SSO10968	Active	7,300	05/20/2013	05/20/2013	05/20/2013	05/20/2013	05/20/2013	05/20/2013	05/20/2013	05/20/2013	05/20/2013	05/20/2013	05/20/2013	05/20/2013	05/20/2013	05/20/2013	05/21/2018			No	
5SSO10969	Active	50	10/24/2016	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	07/28/2010	12/09/2015			Yes	
5SSO10970	Active	41,361	11/03/2011	11/03/2011	11/03/2011	11/03/2011	11/03/2011	11/03/2011	11/03/2011	11/03/2011	11/03/2011	11/03/2011	11/03/2011	11/03/2011	11/03/2011	11/03/2011		SSMP completely revised and adopted 		No	
5SSO10971	Active	810	03/14/2014	12/18/2013	12/18/2013	12/18/2013	12/18/2013	12/18/2013	12/18/2013	12/18/2013	12/18/2013	12/18/2013	12/18/2013	12/18/2013	12/18/2013	12/18/2013				Yes	
5SSO10974	Active	2,068	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2019			Yes	
5SSO10975	Active	5,000	06/05/2012	12/11/2008	12/11/2008	12/11/2008	06/05/2012	04/12/2012	06/05/2012	04/12/2012	04/12/2012	06/05/2012	06/05/2012	06/05/2012	06/05/2012	06/05/2012				No	
5SSO10976	Active	1,300	01/27/2011	10/19/2010	10/19/2010	10/19/2010	10/19/2010	10/19/2010	10/19/2010	10/19/2010	10/19/2010	10/19/2010	10/19/2010	10/19/2010	10/19/2010	10/19/2010	10/19/2015			No	
5SSO10978	Active	2,550	10/24/2016	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	07/28/2010	12/09/2015			Yes	
5SSO10980	Historical																			No	
5SSO10981	Active	500	03/02/2011	05/13/2008	03/02/2011	03/02/2011	03/02/2011	03/02/2011	03/02/2011	03/02/2011	03/02/2011	03/02/2011	03/02/2011	03/02/2011	03/02/2011	03/02/2011		All sections previously certified have been certified except for the certification for the developement plan.		No	
5SSO10982	Active	479	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/22/2019			Yes	
5SSO10983	Active	4,790	12/07/2012	02/12/2008	02/12/2008	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	11/13/2012	11/13/2017			No	
5SSO10984	Active	7,080	12/07/2012	02/12/2008	02/12/2008	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	11/13/2012	11/13/2017			No	
5SSO10985	Active	9,013	07/13/2012	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009		SSMP approved by City Council on 7/21/2009		No	
5SSO10986	Historical	150	01/10/2011	01/10/2011	01/10/2011	01/10/2011	01/10/2011	01/10/2011	01/10/2011	01/10/2011	01/10/2011	01/10/2011	01/10/2011	01/10/2011	01/10/2011	01/10/2011		Reviewed and updated on january 10, 2011		No	
5SSO10987	Active	47,000	08/13/2009	10/16/2007	10/16/2007	11/12/2007	05/02/2009	05/02/2009	07/28/2009	04/03/2009	05/02/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	08/11/2009		approved consent agenda @ City Council 08/11/09		No	
5SSO10988	Active	18,000	03/16/2011	11/02/2007	11/02/2007	11/02/2007	05/02/2009	05/02/2009	08/02/2009	05/02/2009	05/02/2009	08/02/2009	08/02/2009	03/10/2011	08/02/2009	06/09/2008	06/09/2008			No	
5SSO10989	Active	1,450	12/16/2011	05/27/2011	06/13/2011	06/13/2011	06/13/2011	07/28/2011	08/15/2011	09/30/2011	10/14/2011	11/30/2011	11/30/2011	11/30/2011	11/30/2011	12/16/2011				No	
5SSO10990	Historical																			No	
5SSO10991	Active	2,300	10/10/2016	02/02/2008	04/14/2008	04/14/2008	04/27/2011	04/27/2011	04/27/2011	04/27/2011	04/27/2011	04/27/2011	04/27/2011	04/27/2011	04/27/2011	04/27/2011	10/10/2016			No	
5SSO10993	Active	73,464	03/30/2011	11/20/2006	11/20/2006	11/20/2006	11/20/2006	11/20/2006	11/20/2006	11/20/2006	11/20/2006	11/20/2006	11/20/2006	11/20/2006	11/20/2006	11/20/2006		The City of Manteca is conducting a FOG control assesment which is to be finalized by the end on 2011.		No	
5SSO10994	Active	12,250	02/26/2013	10/31/2007	10/31/2007	10/31/2007	02/26/2013	02/26/2013	02/26/2013	02/26/2013	02/26/2013	02/26/2013	02/26/2013	02/26/2015	02/26/2013	02/26/2013	02/26/2018	SSMP is now part of SOP		No	
5SSO10995	Active	1,300	02/24/2011	02/22/2011	02/22/2011	02/22/2011	02/22/2011	02/22/2011	02/22/2011	02/22/2011	02/22/2011	02/22/2011	02/22/2011	02/22/2011	02/22/2011	02/22/2011	02/22/2011			No	
5SSO10997	Active	1,193	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2019			Yes	
5SSO10998	Historical																			No	
5SSO10999	Historical	440	10/24/2016	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	02/03/2011	07/28/2010	12/09/2015			Yes	
5SSO11001	Active	203,085	08/23/2016	07/26/2007	11/01/2007	11/01/2007	11/03/2008	11/03/2008	11/03/2008	11/01/2007	02/07/2012	04/07/2009	04/07/2009	12/13/2011	04/07/2009	04/07/2009	03/03/2015	Updated SSMP URL	http://www.modestogov.com/903/Sanitary-Sewer-Management-Plan-SSMP	Yes	
5SSO11002	Active	800	08/17/2012	08/17/2012	08/17/2012	08/17/2012	08/17/2012	08/17/2012	08/17/2012	08/17/2012	08/17/2012	08/17/2012	08/17/2012	08/17/2012	08/17/2012	08/17/2012				No	
5SSO11003	Active	12,000	06/03/2011	01/25/2008	05/02/2008	05/02/2008	11/01/2009	11/01/2009	11/01/2009	11/01/2009	11/01/2009	11/01/2009	11/01/2009	11/01/2009	11/01/2009	11/01/2009				No	
5SSO11004	Historical	5,000	05/08/2008	01/25/2008	05/02/2008	05/02/2008												David Mullaney - Facility Manager		No	
5SSO11005	Active	3,546	06/30/2016	03/16/2012	03/16/2012	03/16/2012	03/16/2012	03/16/2012	03/16/2012	03/16/2012	03/16/2012	03/16/2012	03/16/2012	03/16/2012	03/16/2012	03/16/2012	06/30/2016	SSMP audit complete for 2016		No	
5SSO11006	Historical																			No	
5SSO11007	Active	1,000	03/11/2014	03/10/2014	03/10/2014	03/10/2014	03/10/2014	03/10/2014	03/10/2014	03/10/2014	03/10/2014	03/10/2014	03/10/2014	03/10/2014	03/10/2014	03/10/2014	03/10/2017			Yes	
5SSO11008	Active	922	03/02/2011	05/13/2008	03/02/2011	03/02/2011	03/02/2011	03/02/2011	03/02/2011	03/02/2011	03/02/2011	03/02/2011	03/02/2011	03/02/2011	03/02/2011	03/02/2011		All sections previously certified have been updated.		No	
5SSO11011	Active	3,068																		No	
5SSO11012	Active	950	11/15/2012	11/11/2010	11/11/2010	11/11/2010	10/24/2012	11/02/2012	10/25/2012	10/25/2012	01/01/2011	10/25/2012	01/01/2011	01/01/2011	01/01/2011	11/15/2012				No	
5SSO11014	Active	110	12/07/2012	02/12/2008	02/12/2008	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	11/13/2012	11/13/2017			No	
5SSO11015	Active	8,855	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2014	07/15/2019			Yes	
5SSO11017	Active	20,685	07/22/2009	12/03/2007	11/01/2007	11/01/2007	05/01/2009	05/01/2009	07/20/2009	05/01/2009	05/01/2009	07/20/2009	07/20/2009	07/20/2009	07/20/2009	07/20/2009				No	
5SSO11018	Active	560	08/28/2009	01/25/2007	01/25/2007	01/25/2007	08/17/2009	08/17/2009	08/17/2009	08/17/2009	08/17/2009	08/17/2009	08/17/2009	08/17/2009	08/17/2009	08/28/2009				No	
5SSO11019	Active	19,509	07/28/2014	10/18/2007	10/18/2007	10/18/2007	04/23/2009	04/23/2009	04/23/2009	04/23/2009	04/23/2009	07/16/2009	07/16/2009	07/16/2009	07/16/2009	07/16/2009	07/17/2014	The Districs Board approved the ssmp plan at the Board meeting July 17th 2014	http://www.opud.net/waste-water	Yes	
5SSO11020	Active	240	01/25/2013	05/02/2008	05/02/2008	05/02/2008	02/02/2010	02/02/2010	05/26/2010	02/02/2010	02/02/2010	05/26/2010	05/26/2010	05/26/2010	05/26/2010	07/26/2010	09/06/2012	SSMP Updated		No	
5SSO11021	Active	20,560	06/03/2014	11/02/2007	11/02/2007	11/02/2007	11/02/2007	04/21/2009	04/21/2009	04/21/2009	04/21/2009	04/21/2009	04/21/2009	04/21/2009	04/21/2009	04/21/2009	06/05/2019	Adopted in 2009		Yes	
5SSO11022	Active	680	12/07/2012	02/12/2008	02/12/2008	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	05/28/2012	11/13/2012	11/13/2017			No	
5SSO11025	Active	295	02/24/2014	11/27/2008	11/27/2008	11/27/2008	11/27/2008	08/01/2009	08/01/2010	08/01/2009	08/01/2009	08/01/2010	08/01/2010	08/01/2010	08/01/2010	08/01/2010	02/24/0014			Yes	
