WDID	Status	Region	Agency	Collection System	County	LRO	Address Type	Street	City	Zip	Adopt Or Issuance Date	Effective Date	Expiration or Review Date	Termination Date	
5SSO10880	Active	5S	Ca Dept of Parks & Rec Central Valley District	Calaveras Big Trees State Park CS	Calaveras	Eric Osman	LRO Mailing	11255 Jackson Street 	Columbia	95310		07/21/2006	04/20/2011		
5SSO10882	Active	5S	CSU Sacramento	California State University, Sacramento CS	Sacramento	Bob Hitomi	AGENCY Mailing	6000 J Street 	Sacramento	95819		11/17/2006			
5SSO10883	Active	5S	East Bay MUD	Camanche North Shore CS	Alameda	John Hurlburt	AGENCY Mailing	 PO Box 24055  M/S 704	Oakland	94623		11/16/2006			
5SSO10884	Active	5S	East Bay MUD	Camanche South Shore CS	Alameda	John Hurlburt	AGENCY Mailing	 PO Box 24055  M/S 704	Oakland	94623		11/16/2006			
5SSO10885	Active	5S	El Dorado Irrigation District	Camino Heights CS	El Dorado	Margaret Prehn Washko	AGENCY Mailing	2890 Mosquito Road 	Placerville	95667		11/28/2006			
5SSO10888	Active	5S	Nevada CSD No 1	Cascade Shores CS	Nevada	Bradley Jade Torres	AGENCY Mailing	12622 Pleasant Valley Road 	Penn Valley	95946		04/20/2006			
5SSO10889	Historical	5S	Christian Outreach Ministries	Christian Outreach Ministries CS	Butte	Vivan  Myer	AGENCY Mailing	3945 Oro-Bangor Highway 	Oroville	95966		07/11/2006		07/11/2006	
5SSO10890	Active	5S	Antioch City	City Of Antioch CS	Contra Costa	Jeffrey Cook	AGENCY Contact	 Third & H Street 	Antioch	94531		03/12/2007			
5SSO10891	Active	5S	Brentwood City	City Of Brentwood CS	Contra Costa	Ryan  Lamunyon	AGENCY Mailing	2251 Elkins Way 	Brentwood	94513		08/03/2006			
5SSO10893	Active	5S	Folsom City - Environmental & Water Resources Dept	City Of Folsom CS	Sacramento	Marcus  Yasutake	AGENCY Mailing	50 Natoma Street 	Folsom	95630	05/02/2006	03/12/2007	05/02/2011		
5SSO10894	Active	5S	Ione City	City Of Ione CS	Amador	Brett T. Moroz	AGENCY Mailing	1 Main Street 	Ione	95640		10/30/2006			
5SSO10895	Active	5S	Jackson City	City Of Jackson CS	Amador	Bree D. Wilder	AGENCY Mailing	33 Broadway  	Jackson	95642		10/19/2006			
5SSO10896	Active	5S	Lakeport City	City Of Lakeport CS	Lake	Paul O. Harris	AGENCY Mailing	225 Park Street 	Lakeport	95453	05/02/2006	02/22/2008			
5SSO10897	Active	5S	Lathrop City	Lathrop CS to Manteca WQCF CS	San Joaquin	Michael  King	AGENCY Mailing	390 Towne Centre Drive 	Lathrop	95330		08/15/2006			
5SSO10898	Active	5S	Live Oak City	City Of Live Oak CS	Sutter	Ronald Walker	AGENCY Mailing	9955 Live Oak Boulevard 	Live Oak	95953		08/15/2006			
5SSO10900	Active	5S	Ripon City	City Of Ripon CS	San Joaquin	Ted Johnston	AGENCY Mailing	259 Wilma Avenue 	Ripon	95366		10/09/2007			
5SSO10901	Active	5S	Sacramento City	City of Sacramento Utilities CS	Sacramento	Tim Lloyd	AGENCY Mailing	1395 35th Avenue 	Sacramento	95822		12/08/2006			
5SSO10901-C	Active	5S	Sacramento City	City of Sacramento Combined CS	Sacramento	Tim Lloyd	AGENCY Mailing	1395 35th Avenue 	Sacramento	95822	08/12/2010	08/12/2010			
5SSO10903	Active	5S	Woodland City	City of Woodland CS	Yolo	Alex Truitt	AGENCY Mailing	655 Pioneer Avenue 	Woodland	95776		05/29/2007			
5SSO10906	Active	5S	Clearlake Oaks Cnty Water Dist	Clearlake Oaks Co Wtr Dis CS	Lake	Jason Charles Mitchell	AGENCY Mailing	 PO Box 709  	Clearlake Oaks	95423	05/02/2006	01/08/2007	05/02/2011		
5SSO10907	Active	5S	Colfax City	Colfax CS	Placer	Travis Berry	AGENCY Mailing	 PO Box 702  	Colfax	95713		11/27/2006			
5SSO10908	Active	5S	Colusa City	Colusa CS	Colusa	Jesse Cain	AGENCY Mailing	425 Webster Street 	Colusa	95932		10/25/2006			
5SSO10910	Active	5S	Calaveras Cnty Water District	Copper Cove CS	Calaveras	Chris  Skrbina	AGENCY Mailing	 PO Box 846  	San Andreas	95249		11/08/2006			
5SSO10912	Active	5S	Sacramento Area Sewer District	Sacramento Area Sewer District CS	Sacramento	Jennifer  Swinney	AGENCY Mailing	10060 Goethe Road 	Sacramento	95827		11/16/2006			
5SSO10916	Active	5S	Amador Water Agency	Csa 3-Lake Camanche CS	Amador	Damon  Wyckoff	AGENCY Mailing	12800 Ridge Road 	Sutter Creek	95685	05/02/2006	12/30/2009	05/02/2011		
5SSO10918	Active	5S	Placer Cnty Dept of Facility Services	Sheridan, Zone 6 CS	Placer	Bill Zimmerman	AGENCY Mailing	11476 C Avenue 	Auburn	95603		11/17/2006			
5SSO10920	Historical	5S	Yolo Cnty Housing Authority	Davis Migrant Center CS	Yolo	Lisa Baker	AGENCY Mailing	147 Main Street 	Woodland	95695		11/20/2007			
5SSO10921	Active	5S	Davis City	Davis CS	Yolo	John Alexander	AGENCY Mailing	23 Russell Boulevard 	Davis	95616		11/16/2006			
5SSO10922	Historical	5S	US Dept of Defense, Defense Logistics Agency	DDJC, Tracy CS	San Joaquin	James Paslak	AGENCY Mailing	 PO Box 960001  	Stockton	95296		10/11/2006		02/05/2015	
5SSO10923	Active	5S	El Dorado Irrigation District	Deer Creek CS	El Dorado	Margaret Prehn Washko	AGENCY Mailing	2890 Mosquito Road 	Placerville	95667		11/28/2006			
5SSO10924	Historical	5S	Dell Wayne Estates MHP	Dell Wayne Estates Mhp CS	Sutter		AGENCY Mailing	3120 Live Oak Boulevard 104	Yuba City	95991		04/19/2006		09/25/2008	
5SSO10926	Active	5S	Ca Dept of Corrections & Rehabilitation	Deuel Vocational Institution CS	San Joaquin	Anthony Schumacher	AGENCY Mailing	9838 Old Placerville Road B	Sacramento	95827		05/30/2007			
5SSO10928	Active	5S	Western Hills Water District	Diablo Grande CS	Stanislaus	Patrick Garvey	AGENCY Mailing	9521 Morton Davis Drive 	Patterson	95363		11/17/2006			
5SSO10929	Active	5S	Town of Discovery Bay CSD	Discovery Bay CS	Contra Costa	Bernie  Sadler	AGENCY Mailing	1037 Discovery Bay Boulevard 	Discovery Bay	94514		10/25/2006			
5SSO10930	Historical	5S	Dixon Housing Authority	District Migrant Center CS	Solano	Lisa A Baker Dixon	AGENCY Mailing	 PO Box 610  	Dixon	95620		11/20/2007			
5SSO10931	Active	5S	Dixon City PWD	Dixon CS	Solano	Joseph Leach	AGENCY Mailing	600 East  A Street 	Dixon	95620		08/03/2006			
5SSO10932	Historical	5S	US Air Force McClellan AFB	Domestic (Sac Co Sd 1) CS	Sacramento	Michael  Stewart	AGENCY Mailing	3411 Olson Street 	McClellan	95652		11/03/2006		03/10/2008	
5SSO10933	Active	5S	Donner Summit Public Utilities District	Donner Summit CS	Nevada	Tom  Skjelstad	AGENCY Mailing	 PO Box 610  	Soda Springs	95728		08/10/2006			
5SSO10934	Active	5S	Calaveras Cnty Water District	Douglas Flat/Vallecito CS	Calaveras	Chris  Skrbina	AGENCY Mailing	 PO Box 846  	San Andreas	95249		11/08/2006			
5SSO10935	Active	5S	Roseville City	Dry Creek CS	Placer	Brian Bracco	AGENCY Physical	311 Vernon Street 	Roseville	95678		08/03/2006			
5SSO10937	Historical	5S	Amador Water Agency	Eagles Nest Leachfield CS	Amador	Damon  Wyckoff	AGENCY Mailing	12800 Ridge Road 	Sutter Creek	95685	05/02/2006	01/03/2007	05/02/2011	02/12/2015	
5SSO10938	Active	5S	Vacaville City DPW	Easterly CS	Solano	Brian McLean	AGENCY Physical	650 Merchant Street 	Vacaville	95688	05/02/2006	01/03/2007	05/02/2021		
5SSO10939	Historical	5S	East Bay MUD	Ebmud Pardee Center CS	Alameda	Derek  Lee	AGENCY Mailing	 PO Box 24055  M/S 704	Oakland	94623				09/25/2008	
5SSO10940	Active	5F	Taft City	Taft City CS	Kern	Anthony Bonanno	AGENCY Mailing	 PO Box 413  	Taft	93268	05/02/2006	01/03/2007	05/02/2011		
5SSO10941	Active	5S	El Dorado Irrigation District	El Dorado Hills CS	El Dorado	Margaret Prehn Washko	AGENCY Mailing	2890 Mosquito Road 	Placerville	95667		11/28/2006			
5SSO10942	Historical	5S	Empire SD	Empire Sanitary District CS	Stanislaus	Don Hankins	AGENCY Mailing	5017 Yosemite Boulevard 	Empire	95319		07/01/2009		07/01/2016	
5SSO10944	Active	5S	Escalon City	Escalon Treatment Plant CS	San Joaquin	TAMMY ALCANTOR	AGENCY Mailing	2060 McHenry Avenue 	Escalon	95320		10/16/2006			
5SSO10945	Active	5S	Esparto CSD	Esparto Csd CS	Yolo	Mike Hayes	AGENCY Mailing	 PO Box 349  	Esparto	95627		08/15/2006			
5SSO10946	Historical	5S	Calaveras Cnty Fairgrounds	Fairground CS	Calaveras	Ray  Malerbi	AGENCY Mailing	 PO Box 489  	Angles Camp	95222		07/11/2006			
5SSO10949	Active	5S	Calaveras Cnty Water District	Forest Meadows CS	Calaveras	William  Perley	AGENCY Mailing	 PO Box 846  	San Andreas	95249		11/08/2006			
5SSO10951	Active	5S	Galt City	Galt CS	Sacramento	Alex Fastro	AGENCY Mailing	495 Industrial Drive 	Galt	95632		09/12/2006			
5SSO10952	Active	5S	Amador Water Agency	Gayla Manor CS	Amador	Damon  Wyckoff	AGENCY Mailing	12800 Ridge Road 	Sutter Creek	95685	05/02/2006	11/22/2006	05/02/2011		
5SSO10953	Active	5S	USDI Bureau of Reclamation Sacramento	Glory Hole Recreation Area CS	Tuolumne	Alex Michalek	AGENCY Physical	2800 Cottage Way E2711	Sacramento	95825	05/02/2006	07/11/2006	05/02/2011		
5SSO10954	Active	5S	El Dorado Irrigation District	Gold Ridge Forest Unit 3 CS	El Dorado	Margaret Prehn Washko	AGENCY Mailing	2890 Mosquito Road 	Placerville	95667		11/28/2006			
5SSO10957	Historical	5S	Ca Dept of Parks & Rec Folsom	Granite Bay State Park CS	Sacramento	Keenan  Sederquist	AGENCY Mailing	7806 Folsom Auburn Road 	Folsom	95630				09/25/2008	
5SSO10958	Active	5S	Grass Valley City	Grass Valley City CS	Nevada	Bjorn  Jones	AGENCY Mailing	125 Main Street 	Grass Valley	95945		07/25/2006			
5SSO10959	Active	5S	Grayson CSD	Grayson Comm Serv Dist CS	Stanislaus	Ignacio Lopez	AGENCY Mailing	 PO Box 158  	Westley	95387	05/02/2006	07/27/2006			
5SSO10961	Active	5F	Groveland CSD	Groveland CS	Tuolumne	Jon Sterling	AGENCY Mailing	 PO Box 350  	Groveland	95321		09/12/2006			
5SSO10963	Active	5S	Hamilton City CSD	Hamilton City Csd CS	Glenn	Jose Puente	AGENCY Mailing	 PO Box 116  	Hamilton City	95951		07/27/2006			
5SSO10964	Active	5S	River Highlands CSD	Hammonton Gold Village CS	Yuba	Kevin Perkins	AGENCY Mailing	915 Eighth Street 125	Marysville	95901		12/26/2007			
5SSO10965	Active	5S	Placerville City	Hangtown Creek CS	El Dorado	Rick Ferriera	AGENCY Mailing	3101 Center Street 	Placerville	95667		12/14/2006			
5SSO10966	Historical	5S	Heather Glen CSD	Heather Glen Mobile Home Park CS	Placer	Max  Bailey	AGENCY Mailing	 PO Box 715  	Applegate	95703		07/25/2006			
5SSO10967	Active	5S	Hidden Valley Lake CSD	Hidden Valley Lake CS	Lake	Dennis  White	AGENCY Mailing	19400 Hartman Road 	Middletown	95461		07/11/2006			
5SSO10968	Active	5S	Hughson City	Hughson CS	Stanislaus	Thomas  Clark	AGENCY Physical	7018 Pine Street 	Hughson	95326		10/20/2006			
5SSO10969	Active	5S	Calaveras Cnty Water District	Indian Rock Vineyards CS	Calaveras	Chris  Skrbina	AGENCY Mailing	 PO Box 846  	San Andreas	95249		11/08/2006			
5SSO10970	Active	5S	Ironhouse Sanitary District	Ironhouse Sanitary District CS	Contra Costa	Louis  Solana	AGENCY Mailing	450 Walnut Meadows Drive 	Oakley	94561		11/17/2006			
5SSO10971	Active	5S	Isleton City	Isleton CS	Sacramento	Romi John Balbini	AGENCY Mailing	210 Jackson Boulevard 	Isleton	95641		08/03/2006			
5SSO10974	Active	5S	Lake Cnty	Kelseyville Co Water Works Dis & AD9-2 CS	Lake	Tracy  Cline	AGENCY Mailing	255 Forbes Street 309	Lakeport	95453		11/13/2006			
5SSO10975	Active	5S	Kirkwood Meadows PUD	Kirkwood Meadows CS	Alpine	Derek Dornbrook	AGENCY Physical	33540 Loop Road 	Kirkwood	95646		07/13/2006			
5SSO10976	Active	5S	Knights Landing Service Dist	Knights Landing CS	Yolo	Todd  Tommeraason	AGENCY Mailing	 PO Box 548  	Knights Landing	95645		10/10/2006			
5SSO10978	Active	5S	Calaveras Cnty Water District	La Contenta CS	Calaveras	Chris  Skrbina	AGENCY Mailing	 PO Box 846  	San Andreas	95249		11/08/2006			
5SSO10980	Historical	5S	Jackson Valley ID	Lake Amador Resort CS	Amador	Thomas  Hoover	AGENCY Mailing	6755 Lake Amador Drive 	Ione	95640		10/19/2006			
5SSO10981	Active	5S	Lake Berryessa Resort Improvement District	Lake Berryessa Resort CS	Napa	Phillip  Miller	AGENCY Physical	2446 Stagecoach Canyon Road 	Pope Valley	94567		04/21/2006			
5SSO10982	Active	5S	Lake Cnty	Lake Co Sanitation Dist AD9-1 & AD9-3 CS	Lake	Tracy  Cline	AGENCY Mailing	255 Forbes Street 309	Lakeport	95453		11/13/2006			
5SSO10983	Active	5S	Nevada CSD No 1	Lake of The Pines CS	Nevada	Bradley Jade Torres	AGENCY Mailing	12622 Pleasant Valley Road 	Penn Valley	95946		04/21/2006			
5SSO10984	Active	5S	Nevada CSD No 1	Lake Wildwood CS	Nevada	Bradley Jade Torres	AGENCY Mailing	12622 Pleasant Valley Road 	Penn Valley	95946		04/21/2006			
5SSO10985	Active	5S	Lathrop City	WRP 1 MBR	San Joaquin	Michael  King	AGENCY Mailing	390 Towne Centre Drive 	Lathrop	95330		08/15/2006			
5SSO10986	Historical	5S	Leland Meadow Water District	Leland Meadow CS	San Joaquin	Marvin Palmer	AGENCY Mailing	 PO Box 1296  	Pinecrest	95364		07/11/2006		02/07/2008	
5SSO10987	Active	5S	Lincoln City	Lincoln CS	Placer	Terry  Rodrigue	AGENCY Mailing	600 Sixth Street 	Lincoln	95648		08/25/2006			
5SSO10988	Active	5S	Linda Cnty Water District	Linda Co Wtr Dist CS	Yuba	Brian Gant Davis	AGENCY Mailing	1280 Scales Street 	Marysville	95901		09/19/2006			
5SSO10989	Active	5S	Linden Cnty Water District	Linden Co Water Dist CS	San Joaquin	Tom  McCoy	AGENCY Mailing	 PO Box 595  	Linden	95236		07/27/2006			
5SSO10990	Historical	5S	Linne Estates LLC	Linne Estates CS	San Joaquin	David  Olmstead	AGENCY Mailing	7701 Bates Road 	Tracy	95304				01/26/2009	
5SSO10991	Active	5S	Lockeford CSD	Lockeford CS	San Joaquin	Eric Schmid	AGENCY Mailing	 PO Box Z  	Lockeford	95237		11/03/2006			
5SSO10993	Active	5S	Manteca City	Manteca CS	San Joaquin	Tom C. Foley	AGENCY Mailing	1001 Center Street 	Manteca	95337	12/13/2006	12/13/2006			
5SSO10994	Active	5S	Marysville City	Marysville CS	Yuba	Stephan Kerzic	AGENCY Mailing	 PO Box 150  	Marysville	95901		08/21/2006			
5SSO10995	Active	5S	Maxwell PUD	Maxwell PUD CS	Colusa	David S. Wadsworth	AGENCY Contact	54 San Francisco Street 	Maxwell	95955		08/14/2006			
5SSO10997	Active	5S	Lake Cnty	Middletown Regional Waste Disp Fac CS	Lake	Tracy  Cline	AGENCY Mailing	255 Forbes Street 309	Lakeport	95453		11/13/2006			
5SSO10998	Historical	5S	San Joaquin Cnty Housing Authority	Migrant Housing, Harney Ln CS	San Joaquin	Al  Carnahan	AGENCY Mailing	 PO Box 447  	Stockton	95201				01/26/2009	
5SSO10999	Historical	5S	Calaveras Cnty Water District	Mill Woods CS	Calaveras	Chris  Skrbina	AGENCY Mailing	 PO Box 846  	San Andreas	95249		11/08/2006		06/17/2015	
5SSO11001	Active	5S	Modesto City	Modesto CS	Stanislaus	Larry  Parlin	AGENCY Physical	1221 Sutter Avenue 	Modesto	95351		08/04/2006			
5SSO11002	Active	5S	Mokelumne Hill SD	Mokelumne Hill CS	Calaveras	Philip McCartney	AGENCY Mailing	 PO Box 209  	Mokelumne Hill	95245		11/06/2006			
5SSO11003	Active	5S	Mountain House CSD	Mountain House -1 CS	San Joaquin	Kathy Stone	AGENCY Mailing	230 Sterling Drive 100	Mountain House	95391	05/02/2006	01/03/2007	05/02/2011		
5SSO11004	Historical	5S	Mountain House CSD	Mountain House -2 CS	San Joaquin	David Mullaney	AGENCY Mailing	230 Sterling Drive 100	Mountain House	95391		07/17/2006			
5SSO11005	Active	5S	Ca Dept of Corrections & Rehabilitation	Mule Creek State Prison CS	Amador	Joe  Lizarraga	AGENCY Mailing	9838 Old Placerville Road B	Sacramento	95827		08/16/2006			
5SSO11006	Historical	5S	Lakeport City Municipal Sewer District	Mun Sewer Dist No 1 Plan No 1 CS	Lake		AGENCY Mailing	225 Park Street 	Lakeport	95453				01/28/2009	
5SSO11007	Active	5S	Murphys SD	Murphys CS	Calaveras	Brian Langley	AGENCY Mailing	90 Big Trees Road B	Murphys	95247		07/28/2006			
5SSO11008	Active	5S	Napa Berryessa Resort IMP Dist	Napa Berryessa CS	Napa	Phillip  Miller	AGENCY Physical	1465 Steele Canyon Road 	Napa	94558		11/22/2006			
5SSO11011	Active	5S	Nevada City	Nevada City CS	Nevada	Peter Schack	AGENCY Mailing	317 Broad Street 	Nevada City	95959		01/02/2007			
5SSO11012	Active	5S	US Army Corps of Engineers Sacramento	New Hogan Lake CS	Calaveras	Jason Pipes	AGENCY Mailing	1325 J Street 	Sacramento	95814		07/27/2006			
5SSO11013	Historical	5S		Newcastle CS	Placer		LRO 					08/21/2006		01/18/2012	
5SSO11014	Active	5S	Nevada CSD No 1	North San Juan CS	Nevada	Bradley Jade Torres	AGENCY Mailing	12622 Pleasant Valley Road 	Penn Valley	95946		04/20/2006			
5SSO11015	Active	5S	Lake Cnty	Nw Regional Waste Disp Fac CS	Lake	Tracy  Cline	AGENCY Mailing	255 Forbes Street 309	Lakeport	95453		11/13/2006			
5SSO11017	Active	5S	Oakdale City	Oakdale CS	Stanislaus	Cody Bridgewater	AGENCY Mailing	455 Fifth Avenue 	Oakdale	95361		11/02/2006			
5SSO11018	Active	5S	Oakwood Lake Water District	Oakwood Lake Water District CS	Stanislaus	James B. Bewley	AGENCY Mailing	 PO Box 240  	Salida	95368		10/30/2006			
5SSO11019	Active	5S	Olivehurst PUD	Olivehurst CS	Yuba	Timothy R Shaw	AGENCY Physical	1970 9th Avenue 	Olivehurst	95961		05/02/2006			
5SSO11020	Active	5S	East Bay MUD	Pardee Recreation Area CS	Alameda	John Hurlburt	AGENCY Mailing	 PO Box 24055  M/S 704	Oakland	94623		11/16/2006			
5SSO11021	Active	5S	Patterson City	Patterson CS	Stanislaus	Robert  Andrade	AGENCY Mailing	33 Del Puerto Avenue 	Patterson	95363		08/03/2006			
5SSO11022	Active	5S	Nevada CSD No 1	Penn Valley CS	Nevada	Bradley Jade Torres	AGENCY Mailing	12622 Pleasant Valley Road 	Penn Valley	95946		04/20/2006			
5SSO11025	Active	5S	Amador Water Agency	Pine Grove Comm Leachfield CS	Amador	Damon  Wyckoff	AGENCY Mailing	12800 Ridge Road 	Sutter Creek	95685		01/03/2007			
5SSO11028	Active	5S	Placer Cnty Dept of Facility Services	SMD No. 1 CS	Placer	Bill Zimmerman	AGENCY Mailing	11476 C Avenue 	Auburn	95603		11/17/2006			
5SSO11029	Active	5S	Placer Cnty Dept of Facility Services	SMD No. 3 CS	Placer	Bill Zimmerman	AGENCY Mailing	11476 C Avenue 	Auburn	95603		11/17/2006			
5SSO11030	Historical	5S	California Conservation Corps - The Placer Center	Placer Energy Center CS	Placer	Mark  Rathswohl	AGENCY Mailing	3710 Christian Valley Road 	Auburn	95603		09/19/2006		06/10/2010	
5SSO11033	Active	5S	Plymouth City	Plymouth CS	Amador	Jeff  Gardner	AGENCY Mailing	 PO Box 429  	Plymouth	95669		12/17/2007			
5SSO11034	Historical	5S	El Dorado Irrigation District	Rancho Ponderso CS	El Dorado	Michael Marchand	AGENCY Mailing	2890 Mosquito Road 	Placerville	95667		11/28/2006		01/23/2009	
5SSO11035	Active	5S	San Joaquin Cnty Utility Maintenance Division	Raymus Village Maint. District CS	San Joaquin	Ben Guzman	LRO Mailing	1702 Scotts Avenue 	Stockton	95205	05/02/2006	03/01/2007	05/02/2011		
5SSO11036	Active	5S	Sutter Cnty DPW	Rio Ramaza CS	Sutter	Guadalupe Rivera	AGENCY Mailing	1130 Civic Center Boulevard 	Yuba City	95993	05/02/2006	12/08/2006	05/02/2011		
5SSO11037	Active	5S	Rio Vista City	Rio Vista Waste Trt Facility CS	Solano	Greg Malcolm	AGENCY Mailing	3000 Airport Road 	Rio Vista	94571		08/10/2006			
5SSO11038	Historical	5S	Ripon City	Ripon Industrial & Domestic Tp CS	San Joaquin		AGENCY Mailing	259 Wilma Avenue 	Ripon	95366		10/10/2006		10/18/2007	
5SSO11039	Active	5S	River Pines PUD	River Pines CS	Amador	Greg Guina	AGENCY Mailing	 PO Box 70  	River Pines	95675		10/11/2006			
5SSO11040	Active	5S	Riverbank City	Riverbank CS	Stanislaus	Michael  Riddell	AGENCY Mailing	6707 Third Street 	Riverbank	95367		01/03/2007			
5SSO11041	Active	5S	Sutter Cnty DPW	Robbins CS	Sutter	Guadalupe Rivera	AGENCY Mailing	1130 Civic Center Boulevard 	Yuba City	95993		11/03/2006			
5SSO11043	Historical	5S	R-Ranch at the Lake	R-Ranch At The Lake CS	Napa	Candace  Patterson	AGENCY Mailing	1962 Capell Valley Road 	Napa	94558		07/11/2006			
5SSO11044	Active	5S	Sacramento Cnty Airport System	Sacramento Intl Airport CS	Sacramento	Christopher  Martin	AGENCY Mailing	6900 Airport Boulevard 	Sacramento	95837		11/08/2006			
5SSO11045	Active	5S	Sacramento Regional CSD	Sacramento Regional CS	Sacramento	Prabhakar Somavarapu	AGENCY Physical	10545 Armstrong Avenue 	Mather	95655		11/16/2006			
5SSO11047	Active	5S	Salida Sanitary District	Salida CS	Stanislaus	Michael Gilton	AGENCY Mailing	 PO Box 445  	Salida	95368		09/21/2006			
5SSO11048	Active	5S	San Andreas SD	San Andreas CS	Calaveras	Joshua Weatherby	AGENCY Physical	 P.O. Box 1630  	San Andreas	95249		07/11/2006			
5SSO11050	Historical	5S	Calaveras Cnty Water District	Sequoia Woods/Mountain Retreat CS	Calaveras	Teresa Tanaka	AGENCY Mailing	 PO Box 846  	San Andreas	95249		11/08/2006		09/25/2008	
5SSO11051	Active	5F	Ca Dept of Corrections & Rehabilitation	Sierra Conservation Center CS	Tuolumne	Joe Harold Borla	AGENCY Mailing	9838 Old Placerville Road B	Sacramento	95827		01/03/2007			
5SSO11053	Historical	5S	Stockton City MUD	Silver Lake Family Camp CS	San Joaquin		AGENCY Mailing	2500 Navy Drive 	Stockton	95206		11/08/2006		09/25/2008	
5SSO11054	Active	5S	South Placer MUD	South Placer Mud CS	Placer	Eric Nielsen	AGENCY Mailing	5807 Springview Drive 	Rocklin	95677		07/28/2006			
5SSO11055	Active	5S	Lake Cnty	Southeast Regional Waste Disp Fac CS	Lake	Tracy  Cline	AGENCY Mailing	255 Forbes Street 309	Lakeport	95453		11/13/2006			
5SSO11056	Active	5S	Calaveras Cnty Water District	Southworth Ranch Estates CS	Calaveras	Chris  Skrbina	AGENCY Mailing	 PO Box 846  	San Andreas	95249		11/08/2006			
5SSO11057	Historical	5S	Spanish Flat Enterprises Inc	Spanish Flat Resort CS	Napa	Sharon  Renyer	AGENCY Mailing	4290 Knoxville Road 	Napa	94558		07/11/2006			
5SSO11058	Historical	5S	Spanish Flat Water District	Spanish Flat Water Dist CS	Napa	Paul  Roussapaulos	AGENCY Mailing	 PO Box 9163  	Napa	94558		08/28/2006			
5SSO11060	Active	5S	Yuba City	Stonegate Village CS	Sutter	Daniel  Poe	AGENCY Mailing	302 Burns Drive 	Yuba City	95991		11/02/2006			
5SSO11061	Active	5S	Sutter Creek City	Sutter Creek CS	Amador	Amy  Gedney	AGENCY Mailing	18 Main Street 	Sutter Creek	95685		10/15/2007			
5SSO11062	Historical	5S	Tanwood MHP	Tanwood Mobile Home Park CS	Calaveras	Nettie  Duncan	AGENCY Mailing	3950 Highway 4  	Avery	95223		11/16/2006		12/14/2007	
5SSO11063	Historical	5S	The Oaks Community Association	The Oaks Commun Assoc-CS	San Joaquin	Marlene  Hinson	AGENCY Mailing	1341 Robinhood Drive C-6	Stockton	95207		11/02/2006			
5SSO11064	Historical	5S	San Joaquin Cnty Housing Authority	Thornton Farm Labor Camp CS	San Joaquin	Al  Carnahan	AGENCY Mailing	 PO Box 447  	Stockton	95201		07/11/2006		09/29/2008	
5SSO11066	Active	5S	Tracy City	Tracy CS	San Joaquin	Wayne Bogart	AGENCY Mailing	3900 Holly Drive 	Tracy	95304		10/16/2006			
5SSO11068	Active	5F	Tuolumne City SD	Tuolumne CS	Tuolumne	Ben Kikugawa	AGENCY Mailing	 PO Box 1238  	Tuolumne	95379		07/27/2006			
5SSO11069	Active	5S	Turlock City	Turlock CS	Stanislaus	Michael Cooke	AGENCY Mailing	156 Broadway  270	Turlock	95380		07/27/2006			
5SSO11070	Active	5F	USDI Bureau of Reclamation Sacramento	Tuttletown Recreation Area CS	Tuolumne	Alex Michalek	AGENCY Physical	2800 Cottage Way E2711	Sacramento	95825		07/11/2006			
5SSO11071	Active	5S	UC Davis	Uc Davis CS	Yolo	Brad Butterfield	AGENCY Mailing	One Shields Avenue 	Davis	95616		08/10/2006			
5SSO11074	Active	5S	Valley Springs SD	Valley Springs Sd CS	Calaveras	Michael J Fischer	AGENCY Mailing	 PO Box 284  	Valley Springs	95252		07/11/2006			
5SSO11077	Active	5S	Wallace Community Service District	Wallace CS	Calaveras	Chris  Skrbina	AGENCY Mailing	 PO Box 398  	Wallace	95254		11/13/2006			
5SSO11080	Active	5S	Waterford City	Waterford CS	San Mateo	Karen L Morgan	AGENCY Mailing	 PO Box 199  	Waterford	95386		08/16/2006			
5SSO11081	Active	5S	Calaveras Cnty Water District	West Point CS	Calaveras	Chris  Skrbina	AGENCY Mailing	 PO Box 846  	San Andreas	95249		11/08/2006			
5SSO11082	Active	5S	West Sacramento City	West Sacramento CS	Yolo	Daniel Mount	AGENCY Mailing	1110 Capitol Avenue 2nd Floor	West Sacramento	95691		12/06/2006			
5SSO11083	Active	5S	Westley Community Service District	Westley Comm CS	Stanislaus	William  Fagan	AGENCY Mailing	 PO Box 206  	Westley	95387		11/02/2006			
5SSO11084	Active	5S	Lodi City	White Slough Water Poll Con Pu CS	San Joaquin	Kathryn Garcia	AGENCY Physical	1331 Hammer Lane 	Lodi	95242		09/20/2006			
5SSO11087	Historical	5S	Colusa Cnty DPW	Holding Ponds CS	Colusa	Harry A Krug	AGENCY Mailing	1215 Market Street 	Colusa	95932		04/21/2006			
5SSO11088	Active	5S	Williams City	Williams CS	Colusa	Greg  Endeman	AGENCY Mailing	 PO Box 310  	Williams	95987		12/11/2007			
5SSO11092	Active	5S	Winters City	Winters CS	Yolo	Wesley  Mercado	AGENCY Mailing	318 First Street 	Winters	95694		09/05/2006			
5SSO11093	Active	5S	Woodbridge Sanitary District	Woodbridge Sd CS	San Joaquin	John Arthur Welch	AGENCY Mailing	19720 Benedict Drive 	Woodbridge	95258		12/28/2006			
